,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,23.0,23.0,29.0,18.0,26.0,20.0,19.0,22.0,26.0,18.0
2,18297.0,27141.0,107379.0,103180.0,290000.0,200000.0,290000.0,290000.0,290000.0,290000.0
3,27.0,36.0,26.0,35.0,30.0,27.0,35.0,16.0,26.0,20.0
4,5.0,7.0,8.0,8.0,5.0,6.0,13.0,1.0,3.0,1.0
5,0.0,7.0,2.0,12.0,4.0,10.0,9.0,3.0,4.0,9.0
6,348.0,438.0,264.0,377.0,522.0,358.0,231.0,1204.0,633.0,1349.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,20.0,15.0,17.0,21.0,20.0,43.0,9.0,26.0,23.0
9,16.0,21.0,12.0,20.0,14.0,13.0,7.0,6.0,7.0,3.0
10,1739.0,3067.0,2108.0,3018.0,2610.0,2147.0,3008.0,1204.0,1898.0,1349.0
11,67.0,92.0,92.0,94.0,97.0,93.0,97.0,81.0,81.0,80.0
12,9.0,3.0,6.0,3.0,2.0,2.0,3.0,3.0,8.0,4.0
13,71.0,95.0,68.0,92.0,79.0,71.0,92.0,42.0,68.0,53.0
14,1.0,4.0,3.0,10.0,7.0,5.0,6.0,1.0,3.0,7.0
15,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16,70.0,86.0,65.0,77.0,53.0,67.0,51.0,50.0,50.0,40.0
17,19.0,8.0,31.0,11.0,37.0,19.0,26.0,38.0,31.0,30.0
18,11.0,6.0,4.0,11.0,10.0,15.0,23.0,13.0,19.0,30.0
