,2013-2014,2014-2015,2015-2016,2018-2019,2019-2020,2020-2021,2021-2022
1,16.0,6.875,6.0,10.0,26.0,19.0,12.0
2,7872.0,4842.0,14592.0,43083.0,20092.0,43479.0,43479.0
3,29.0,32.0,34.0,27.0,24.0,30.0,21.0
4,5.0,11.0,4.0,1.0,0.0,0.0,0.0
5,3.0,3.0,7.0,0.0,0.0,0.0,0.0
6,490.0,260.0,746.0,2248.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,33.0,51.0,20.0,28.0,12.0,13.0,9.0
9,9.0,11.0,19.0,7.0,14.0,15.0,10.0
10,2450.0,2858.0,2985.0,2248.0,1215.0,1041.0,1046.0
11,100.0,100.0,100.0,96.0,38.0,33.0,43.0
12,0.0,0.0,0.0,2.0,25.0,26.0,25.0
13,85.0,94.0,100.0,84.0,63.0,79.0,55.0
14,5.0,6.0,4.0,13.0,6.0,8.0,5.0
15,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16,45.0,56.0,74.0,67.0,63.0,67.0,48.0
17,24.0,16.0,21.0,11.0,29.0,17.0,43.0
18,31.0,28.0,6.0,22.0,8.0,17.0,10.0
