,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,4.0,4.0,4.0,25.0,9.0,18.0
2,8762.0,9042.0,15250.0,54842.0,60936.0,60936.0
3,16.0,17.0,28.0,12.0,18.0,11.0
4,1.0,2.0,2.0,3.0,0.0,1.0
5,0.0,0.0,4.0,3.0,0.0,0.0
6,1202.0,521.0,986.0,240.0,0.0,755.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,23.0,21.0,40.0,5.0,4.0,13.0
9,3.0,5.0,8.0,5.0,7.0,3.0
10,1202.0,1042.0,1972.0,721.0,603.0,755.0
11,88.0,59.0,82.0,75.0,22.0,91.0
12,14.0,17.0,12.0,6.0,27.0,2.0
13,42.0,45.0,74.0,32.0,47.0,73.0
14,3.0,2.0,9.0,2.0,1.0,1.0
15,0.0,0.0,0.0,0.0,1.0,0.0
16,38.0,29.0,18.0,67.0,83.0,27.0
17,31.0,24.0,50.0,25.0,11.0,9.0
18,31.0,47.0,32.0,8.0,6.0,64.0
