,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,10.0,22.0,16.0,19.0
2,10112.0,18413.0,34585.0,34585.0,34585.0
3,22.0,32.0,17.0,31.0,26.0
4,1.0,3.0,0.0,1.0,2.0
5,0.0,0.0,0.0,1.0,1.0
6,1928.0,935.0,0.0,2578.0,933.0
7,2.0,0.0,0.0,0.0,1.0
8,28.0,36.0,9.0,17.0,30.0
9,6.0,9.0,9.0,15.0,8.0
10,1928.0,2806.0,1217.0,2578.0,1866.0
11,100.0,97.0,88.0,97.0,81.0
12,7.0,1.0,16.0,5.0,12.0
13,58.0,84.0,45.0,82.0,68.0
14,6.0,7.0,3.0,3.0,5.0
15,1.0,0.0,1.0,0.0,1.0
16,27.0,38.0,59.0,68.0,46.0
17,27.0,34.0,35.0,19.0,27.0
18,45.0,28.0,6.0,13.0,27.0
