,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,12.833,8.714,9.0,11.833,19.0,3.0,26.0,19.0,12.0
2,15036.0,16486.0,18578.0,29200.0,25363.0,25610.0,26351.0,26351.0,26351.0
3,34.0,14.0,17.0,12.0,31.0,34.0,33.0,34.0,30.0
4,5.0,2.0,1.0,0.0,9.0,4.0,14.0,5.0,6.0
5,1.0,1.0,0.0,1.0,3.0,8.0,3.0,4.0,4.0
6,274.0,223.0,771.0,0.0,226.0,677.0,196.0,530.0,355.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,14.0,7.0,9.0,7.0,22.0,36.0,25.0,26.0,20.0
9,12.0,5.0,4.0,2.0,13.0,11.0,16.0,14.0,12.0
10,1370.0,445.0,771.0,540.0,2038.0,2708.0,2747.0,2649.0,2127.0
11,32.0,21.0,41.0,33.0,74.0,91.0,94.0,88.0,77.0
12,23.0,11.0,18.0,12.0,10.0,3.0,2.0,4.0,8.0
13,89.0,93.0,45.0,71.0,82.0,89.0,87.0,89.0,79.0
14,3.0,1.0,0.0,3.0,6.0,11.0,9.0,3.0,7.0
15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
16,59.0,36.0,24.0,25.0,61.0,47.0,55.0,62.0,43.0
17,32.0,29.0,35.0,33.0,29.0,21.0,33.0,15.0,43.0
18,9.0,36.0,41.0,42.0,10.0,32.0,12.0,24.0,13.0
