,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,6.0,6.0,6.833,5.0,8.0,13.5
2,9338.0,9585.0,12105.0,23716.0,23716.0,35903.0
3,14.0,18.0,38.0,28.0,37.0,17.0
4,1.0,1.0,3.0,3.0,4.0,1.0
5,1.0,1.0,9.0,6.0,5.0,1.0
6,666.0,999.0,930.0,686.0,545.0,650.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,20.0,10.0,24.0,16.0,19.0,11.0
9,2.0,5.0,15.0,12.0,21.0,5.0
10,666.0,999.0,2789.0,2057.0,2178.0,650.0
11,50.0,67.0,89.0,93.0,70.0,41.0
12,7.0,12.0,4.0,2.0,11.0,12.0
13,78.0,47.0,100.0,100.0,97.0,89.0
14,1.0,0.0,3.0,6.0,0.0,1.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,21.0,28.0,58.0,54.0,65.0,41.0
17,0.0,44.0,24.0,14.0,30.0,18.0
18,79.0,28.0,18.0,32.0,5.0,41.0
