,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,5.0,1.5,6.5,6.5,19.0,6.5,6.5,8.0,9.0
2,2141.0,15810.0,15810.0,15810.0,13340.0,15810.0,29809.0,29809.0,29809.0
3,10.0,23.0,13.0,14.0,30.0,26.0,30.0,12.0,24.0
4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
5,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2556.0,2139.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,11.0,29.0,14.0,19.0,31.0,29.0,35.0,8.0,17.0
9,4.0,3.0,6.0,5.0,14.0,6.0,7.0,5.0,12.0
10,889.0,1920.0,916.0,1104.0,2556.0,2139.0,2545.0,640.0,1172.0
11,100.0,91.0,77.0,86.0,97.0,96.0,97.0,50.0,58.0
12,0.0,7.0,9.0,12.0,6.0,4.0,4.0,13.0,20.0
13,26.0,61.0,34.0,37.0,79.0,68.0,79.0,32.0,63.0
14,2.0,5.0,5.0,2.0,8.0,7.0,6.0,3.0,6.0
15,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
16,70.0,35.0,38.0,50.0,37.0,35.0,47.0,42.0,46.0
17,10.0,30.0,23.0,7.0,23.0,31.0,17.0,42.0,25.0
18,20.0,35.0,38.0,43.0,40.0,35.0,37.0,17.0,29.0
