,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,22.0,1.5,27.0,22.0,21.0,20.0
2,99.0,8416.0,10507.0,168974.0,168974.0,168974.0
3,11.0,33.0,33.0,29.0,27.0,31.0
4,2.0,3.0,3.0,4.0,1.0,4.0
5,0.0,2.0,1.0,0.0,1.0,1.0
6,284.0,971.0,990.0,613.0,2220.0,669.0
7,0.0,1.0,0.0,0.0,0.0,0.0
8,4.0,30.0,29.0,31.0,27.0,29.0
9,3.0,12.0,15.0,9.0,5.0,11.0
10,567.0,2913.0,2970.0,2451.0,2220.0,2674.0
11,55.0,100.0,100.0,90.0,93.0,94.0
12,11.0,0.0,0.0,9.0,4.0,8.0
13,39.0,97.0,97.0,76.0,71.0,82.0
14,0.0,8.0,1.0,5.0,5.0,3.0
15,0.0,0.0,0.0,0.0,0.0,1.0
16,64.0,73.0,85.0,69.0,63.0,58.0
17,27.0,12.0,6.0,17.0,19.0,23.0
18,9.0,15.0,9.0,14.0,19.0,19.0
