,2016-2017,2018-2019,2019-2020,2020-2021,2021-2022
1,22.0,17.0,11.0,17.0,3.625
2,4447.0,54892.0,54842.0,49408.0,61265.0
3,14.0,29.0,22.0,18.0,27.0
4,2.0,1.0,4.0,3.0,4.0
5,4.0,6.0,1.0,0.0,5.0
6,394.0,1339.0,359.0,267.0,465.0
7,0.0,0.0,0.0,0.0,0.0
8,4.0,14.0,21.0,12.0,23.0
9,7.0,7.0,5.0,5.0,10.0
10,788.0,1339.0,1437.0,800.0,1861.0
11,50.0,48.0,86.0,44.0,89.0
12,10.0,23.0,12.0,18.0,4.0
13,82.0,76.0,58.0,58.0,71.0
14,3.0,2.0,5.0,2.0,6.0
15,0.0,0.0,1.0,0.0,1.0
16,79.0,41.0,55.0,44.0,52.0
17,14.0,38.0,23.0,28.0,15.0
18,7.0,21.0,23.0,28.0,33.0
